2026-07-30 09:41:04.969 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=READY vision_ready=false vision_fault=true (reference_active=true healthy=false shutdown_prep=true unhealthy=[io_input_monitor])
2026-07-30 09:41:04.969 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=READY vision_ready=false vision_fault=true (reference_active=true healthy=true shutdown_prep=true unhealthy=[])
2026-07-30 09:41:04.970 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=READY vision_ready=false vision_fault=true (reference_active=true healthy=true shutdown_prep=true unhealthy=[])
2026-07-30 09:46:08.533 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - inspection result plc_fins disabled (plc_fins.enabled=false)
2026-07-30 09:46:08.567 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - inspection result plc: FINS only (ready sticky + reject lines + fault; no IO-box DO1-4)
2026-07-30 09:46:08.567 WARN  [main] c.e.i.o.i.f.FanOutCoordinator - inspection result client_ws unavailable — bucket verdict will not be sent to UI
2026-07-30 09:46:08.575 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true shutdown_prep=false unhealthy=[])
2026-07-30 09:46:08.578 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=READY vision_ready=true vision_fault=false (reference_active=true healthy=true shutdown_prep=false unhealthy=[])
2026-07-30 09:46:08.579 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=READY vision_ready=false vision_fault=true (reference_active=true healthy=false shutdown_prep=false unhealthy=[io_input_monitor])
2026-07-30 09:46:08.579 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=READY vision_ready=true vision_fault=false (reference_active=true healthy=true shutdown_prep=false unhealthy=[])
2026-07-30 09:46:08.590 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - inspection result plc_fins disabled (plc_fins.enabled=false)
2026-07-30 09:46:08.593 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - inspection result plc: FINS only (ready sticky + reject lines + fault; no IO-box DO1-4)
2026-07-30 09:46:08.593 WARN  [main] c.e.i.o.i.f.FanOutCoordinator - inspection result client_ws unavailable — bucket verdict will not be sent to UI
2026-07-30 09:46:08.594 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=NO_REFERENCE vision_ready=false vision_fault=false (reference_active=false healthy=true shutdown_prep=false unhealthy=[])
2026-07-30 09:46:08.594 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=READY vision_ready=true vision_fault=false (reference_active=true healthy=true shutdown_prep=false unhealthy=[])
2026-07-30 09:46:08.594 WARN  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins shutdown prep — vision_ready=0 vision_fault=1 reason=di1_power_supply
2026-07-30 09:46:08.594 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=READY vision_ready=false vision_fault=true (reference_active=true healthy=true shutdown_prep=true unhealthy=[])
2026-07-30 09:46:08.595 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=READY vision_ready=false vision_fault=true (reference_active=true healthy=false shutdown_prep=true unhealthy=[io_input_monitor])
2026-07-30 09:46:08.595 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=READY vision_ready=false vision_fault=true (reference_active=true healthy=true shutdown_prep=true unhealthy=[])
2026-07-30 09:46:08.595 INFO  [main] c.e.i.o.i.f.FanOutCoordinator - plc fins session_state=READY vision_ready=false vision_fault=true (reference_active=true healthy=true shutdown_prep=true unhealthy=[])
